COLOR NAME2	HEX
Nuthatch	8E725F
Grounded	785B47
Java	634533
Reliable White	E8DED3
Lightweight Beige	DAC8B8
Familiar Beige	CAB3A0
Sensational Sand	BFA38D
Toasty	957258
Jute Brown	815D40
Sturdy Brown	69482C
Pacer White	E5DDD0
Sand Dollar	D7C5B3
Practical Beige	C9B29C
Sands of Time	BCA38B
Portabello	947A62
Tea Chest	7D644D
Kaffee	65503D
Divine White	E6DCCD
Kilim Beige	D7C5AE
Nomadic Desert	C7B198
Latte	BAA185
Hopsack	9E8163
Steady Brown	8A6B4D
Coconut Husk	70573F
Biscuit	EBDDCB
Interactive Cream	E4CAAD
Bagel	D7B593
Totally Tan	CCA683
Tatami Tan	BA8C64
Smokey Topaz	A57955
Leather Bound	8D623D
Antique White	E8DCC6
Believable Buff	DBC7A8
Whole Wheat	CDB592
Camelback	C5AA85
Baguette	B39167
Cardboard	9C7A56
Craft Paper	8A6645
Navajo White	E9DCC6
Ivoire	E4CEAC
Blonde	DCBD92
Restrained Gold	D2B084
Mannered Gold	C19763
Chamois	AD8451
Relic Bronze	906A3A
Muslin	EADFC9
Netsuke	E0CFB0
Ecru	D0BA94
Harmonic Tan	C6B08A
Burlap	AC9571
Artifact	9A815E
Mossy Gold	7F6743
Moderate White	E9DECF
Softer Tan	DACAB2
Macadamia	CCB79B
Basket Beige	C0A98B
Dapper Tan	947F65
Thatch Brown	867057
Umber	6E543C
Panda White	EAE2D4
Wool Skein	D9CFBA
Relaxed Khaki	C8BBA3
Universal Khaki	B8A992
Quiver Tan	8E7F6A
Superior Bronze	786957
Protégé Bronze	66543E
Nacre	E8E2D4
Rice Grain	DBD0B9
Ramie	CDBDA2
Favorite Tan	C1AE91
Sawdust	998970
High Tea	7E6F59
Best Bronze	5D513E
Nonchalant White	DEDDD1
Ancient Marble	D1CCB9
Grassland	C1BCA7
Svelte Sage	B2AC96
Connected Gray	898473
Eclipse	6B6757
Garden Gate	5E5949
Moderne White	E2E0D7
Sedate Gray	D1CDBF
Techno Gray	BFB9AA
Chatroom	B0AB9C
Hardware	8B8372
Cocoon	726B5B
Andiron	424036
Sagey	E2E2D1
Liveable Green	CECEBD
Softened Green	BBBCA7
Clary Sage	ACAD97
Artichoke	7F8266
Oakmoss	65684C
Secret Garden	4F523A
Ethereal White	E3E2D9
Conservative Gray	D1D0C6
Austere Gray	BEBFB2
Escape Gray	ABAC9F
Dried Thyme	7B8070
Rosemary	64695C
Shade‐Grown	4E5147
Opaline	DCDFD7
Filmy Green	D1D3C7
Contented	BDC0B3
Coastal Plain	9FA694
Privilege Green	7A8775
Basil	626E60
Rock Garden	465448
Frosty White	DDDDD6
Aloof Gray	C9C9C0
Sensible Hue	B6B5AB
Rare Gray	A6A69B
